                                                                                                                                                                                                                                         
{'loss': '10.55', 'grad_norm': '1157', 'learning_rate': '6.25e-06', 'epoch': '0.01044'}
{'loss': '7.168', 'grad_norm': '591.7', 'learning_rate': '1.319e-05', 'epoch': '0.02089'}
{'loss': '4.878', 'grad_norm': '54.77', 'learning_rate': '2.014e-05', 'epoch': '0.03133'}
{'loss': '5.585', 'grad_norm': '100.4', 'learning_rate': '2.708e-05', 'epoch': '0.04177'}
{'loss': '4.416', 'grad_norm': '451.8', 'learning_rate': '3.403e-05', 'epoch': '0.05221'}
{'loss': '5.213', 'grad_norm': '416.7', 'learning_rate': '4.097e-05', 'epoch': '0.06266'}
{'loss': '5.708', 'grad_norm': '521.4', 'learning_rate': '4.792e-05', 'epoch': '0.0731'}
{'loss': '3.967', 'grad_norm': '164.4', 'learning_rate': '5.486e-05', 'epoch': '0.08354'}
{'loss': '4.607', 'grad_norm': '258.9', 'learning_rate': '6.181e-05', 'epoch': '0.09398'}
{'loss': '4.992', 'grad_norm': '96.74', 'learning_rate': '6.875e-05', 'epoch': '0.1044'}
{'loss': '5.103', 'grad_norm': '78.33', 'learning_rate': '7.569e-05', 'epoch': '0.1149'}
{'loss': '5.528', 'grad_norm': '178.3', 'learning_rate': '8.264e-05', 'epoch': '0.1253'}
{'loss': '4.157', 'grad_norm': '107.9', 'learning_rate': '8.958e-05', 'epoch': '0.1358'}
{'loss': '3.997', 'grad_norm': '271.8', 'learning_rate': '9.653e-05', 'epoch': '0.1462'}
{'loss': '3.656', 'grad_norm': '19.52', 'learning_rate': '0.0001035', 'epoch': '0.1566'}
{'loss': '4.024', 'grad_norm': '50.19', 'learning_rate': '0.0001104', 'epoch': '0.1671'}
{'loss': '3.842', 'grad_norm': '51.17', 'learning_rate': '0.0001174', 'epoch': '0.1775'}
{'loss': '4.332', 'grad_norm': '41.37', 'learning_rate': '0.0001243', 'epoch': '0.188'}
{'loss': '4.93', 'grad_norm': '11.01', 'learning_rate': '0.0001313', 'epoch': '0.1984'}
{'loss': '4.604', 'grad_norm': '37.61', 'learning_rate': '0.0001382', 'epoch': '0.2089'}
{'loss': '4.488', 'grad_norm': '74.16', 'learning_rate': '0.0001451', 'epoch': '0.2193'}
{'loss': '5.403', 'grad_norm': '74.21', 'learning_rate': '0.0001521', 'epoch': '0.2297'}
{'loss': '5.173', 'grad_norm': '151.6', 'learning_rate': '0.000159', 'epoch': '0.2402'}
{'loss': '5.831', 'grad_norm': '65.18', 'learning_rate': '0.000166', 'epoch': '0.2506'}
{'loss': '4.405', 'grad_norm': '64.14', 'learning_rate': '0.0001729', 'epoch': '0.2611'}
{'loss': '3.791', 'grad_norm': '5.801', 'learning_rate': '0.0001799', 'epoch': '0.2715'}
