                                                                                                                                                                                                                                         
{'loss': '8.633', 'grad_norm': '706.8', 'learning_rate': '1.627e-06', 'epoch': '0.002713'}
{'loss': '7.994', 'grad_norm': '2431', 'learning_rate': '3.436e-06', 'epoch': '0.005426'}
{'loss': '4.388', 'grad_norm': '202.4', 'learning_rate': '5.244e-06', 'epoch': '0.00814'}
{'loss': '0.03551', 'grad_norm': '0.1038', 'learning_rate': '7.052e-06', 'epoch': '0.01085'}
{'loss': '13.3', 'grad_norm': '660.2', 'learning_rate': '8.861e-06', 'epoch': '0.01357'}
{'loss': '20.48', 'grad_norm': '616.7', 'learning_rate': '1.067e-05', 'epoch': '0.01628'}
{'loss': '7.21', 'grad_norm': '1143', 'learning_rate': '1.248e-05', 'epoch': '0.01899'}
{'loss': '5.585', 'grad_norm': '334.4', 'learning_rate': '1.429e-05', 'epoch': '0.02171'}
{'loss': '4.069', 'grad_norm': '83.77', 'learning_rate': '1.609e-05', 'epoch': '0.02442'}
{'loss': '3.686', 'grad_norm': '189.3', 'learning_rate': '1.79e-05', 'epoch': '0.02713'}
{'loss': '0.7394', 'grad_norm': '0.5794', 'learning_rate': '1.971e-05', 'epoch': '0.02985'}
{'loss': '0.0001166', 'grad_norm': '0.0004602', 'learning_rate': '2.152e-05', 'epoch': '0.03256'}
{'loss': '3.695e-07', 'grad_norm': '2.474e-05', 'learning_rate': '2.333e-05', 'epoch': '0.03527'}
{'loss': '12.1', 'grad_norm': '0.001349', 'learning_rate': '2.514e-05', 'epoch': '0.03799'}
{'loss': '4.039e-05', 'grad_norm': '0.01517', 'learning_rate': '2.694e-05', 'epoch': '0.0407'}
{'loss': '6.294', 'grad_norm': '449.9', 'learning_rate': '2.875e-05', 'epoch': '0.04341'}
{'loss': '15.51', 'grad_norm': '273', 'learning_rate': '3.056e-05', 'epoch': '0.04613'}
{'loss': '6.146', 'grad_norm': '178.4', 'learning_rate': '3.237e-05', 'epoch': '0.04884'}
{'loss': '6.726', 'grad_norm': '178.6', 'learning_rate': '3.418e-05', 'epoch': '0.05155'}
{'loss': '4.718', 'grad_norm': '103.6', 'learning_rate': '3.599e-05', 'epoch': '0.05426'}
{'loss': '2.85', 'grad_norm': '106.2', 'learning_rate': '3.779e-05', 'epoch': '0.05698'}
{'loss': '4.212', 'grad_norm': '245.8', 'learning_rate': '3.96e-05', 'epoch': '0.05969'}
{'loss': '9.92', 'grad_norm': '7.889', 'learning_rate': '4.141e-05', 'epoch': '0.0624'}
{'loss': '0.1589', 'grad_norm': '3.54', 'learning_rate': '4.322e-05', 'epoch': '0.06512'}
{'loss': '3.339', 'grad_norm': '0.07864', 'learning_rate': '4.503e-05', 'epoch': '0.06783'}
{'loss': '4.736', 'grad_norm': '121.1', 'learning_rate': '4.684e-05', 'epoch': '0.07054'}
{'loss': '4.265', 'grad_norm': '0.9742', 'learning_rate': '4.864e-05', 'epoch': '0.07326'}
{'loss': '0.007732', 'grad_norm': '0.1079', 'learning_rate': '5.045e-05', 'epoch': '0.07597'}
{'loss': '8.618', 'grad_norm': '0.341', 'learning_rate': '5.226e-05', 'epoch': '0.07868'}
{'loss': '4.369', 'grad_norm': '105.6', 'learning_rate': '5.407e-05', 'epoch': '0.0814'}
{'loss': '0.5571', 'grad_norm': '0.3653', 'learning_rate': '5.588e-05', 'epoch': '0.08411'}
